dataset,season,row_count,generated_at_utc
possessions,2010,26687,2026-08-12 08:08:05 UTC
possessions,2011,774694,2026-08-12 07:57:41 UTC
possessions,2012,772301,2026-08-12 07:41:33 UTC
possessions,2013,781087,2026-08-12 07:24:14 UTC
possessions,2014,809553,2026-08-12 07:07:04 UTC
possessions,2015,785507,2026-08-12 06:49:52 UTC
possessions,2016,837194,2026-08-12 06:34:54 UTC
possessions,2017,845696,2026-08-12 05:55:46 UTC
possessions,2018,847911,2026-08-12 05:36:48 UTC
possessions,2019,845641,2026-08-12 05:18:59 UTC
possessions,2020,815947,2026-08-12 05:01:24 UTC
possessions,2021,603482,2026-08-12 04:45:04 UTC
possessions,2022,830247,2026-08-12 04:31:17 UTC
possessions,2023,863126,2026-08-12 04:12:41 UTC
possessions,2024,872235,2026-08-12 03:53:46 UTC
possessions,2025,873345,2026-08-12 03:33:34 UTC
possessions,2026,878168,2026-08-12 03:11:55 UTC
