dataset,season,row_count,generated_at_utc
rosters,2010,4124,2026-08-12 08:00:43 UTC
rosters,2011,8347,2026-08-12 07:45:15 UTC
rosters,2012,8571,2026-08-12 07:28:12 UTC
rosters,2013,9074,2026-08-12 07:11:17 UTC
rosters,2014,9210,2026-08-12 06:53:53 UTC
rosters,2015,8845,2026-08-12 06:37:54 UTC
rosters,2016,9140,2026-08-12 05:59:39 UTC
rosters,2017,8988,2026-08-12 05:41:22 UTC
rosters,2018,9149,2026-08-12 05:23:15 UTC
rosters,2019,9168,2026-08-12 05:06:19 UTC
rosters,2020,9202,2026-08-12 04:49:00 UTC
rosters,2021,6948,2026-08-12 04:35:33 UTC
rosters,2022,9520,2026-08-12 04:17:22 UTC
rosters,2023,9824,2026-08-12 03:59:00 UTC
rosters,2024,9906,2026-08-12 03:38:45 UTC
rosters,2025,9848,2026-08-12 03:17:50 UTC
rosters,2026,10228,2026-08-12 02:56:57 UTC
