dataset,season,row_count,generated_at_utc
team_rosters,2010,5209,2026-08-12 08:00:02 UTC
team_rosters,2011,5156,2026-08-12 07:44:17 UTC
team_rosters,2012,5177,2026-08-12 07:27:16 UTC
team_rosters,2013,5210,2026-08-12 07:10:17 UTC
team_rosters,2014,5289,2026-08-12 06:52:50 UTC
team_rosters,2015,5352,2026-08-12 06:36:55 UTC
team_rosters,2016,5352,2026-08-12 05:58:39 UTC
team_rosters,2017,5425,2026-08-12 05:40:17 UTC
team_rosters,2018,5457,2026-08-12 05:22:18 UTC
team_rosters,2019,5361,2026-08-12 05:05:18 UTC
team_rosters,2020,5378,2026-08-12 04:48:01 UTC
team_rosters,2021,5495,2026-08-12 04:34:49 UTC
team_rosters,2022,5640,2026-08-12 04:16:21 UTC
team_rosters,2023,5621,2026-08-12 03:57:55 UTC
team_rosters,2024,5670,2026-08-12 03:37:39 UTC
team_rosters,2025,5795,2026-08-12 03:16:35 UTC
team_rosters,2026,5633,2026-08-12 02:55:44 UTC
