dataset,season,row_count,generated_at_utc
matchup_stints,2010,5807,2026-08-20 02:18:28 UTC
matchup_stints,2011,191962,2026-08-20 02:14:43 UTC
matchup_stints,2012,190467,2026-08-20 02:09:42 UTC
matchup_stints,2013,192996,2026-08-20 02:04:27 UTC
matchup_stints,2014,200752,2026-08-20 01:59:05 UTC
matchup_stints,2015,194535,2026-08-20 01:53:31 UTC
matchup_stints,2016,196424,2026-08-20 01:48:11 UTC
matchup_stints,2017,197328,2026-08-20 01:42:28 UTC
matchup_stints,2018,191810,2026-08-20 01:35:18 UTC
matchup_stints,2019,193500,2026-08-20 01:27:40 UTC
matchup_stints,2020,190253,2026-08-20 01:19:49 UTC
matchup_stints,2021,140418,2026-08-20 01:11:43 UTC
matchup_stints,2022,191761,2026-08-20 01:05:18 UTC
matchup_stints,2023,200941,2026-08-20 00:56:43 UTC
matchup_stints,2024,202292,2026-08-20 00:48:34 UTC
matchup_stints,2025,206066,2026-08-20 00:40:41 UTC
matchup_stints,2026,210508,2026-08-20 00:32:13 UTC
