dataset,season,row_count,generated_at_utc
schedule,2010,5709,2026-08-12 07:59:54 UTC
schedule,2011,5735,2026-08-12 07:44:06 UTC
schedule,2012,5763,2026-08-12 07:27:05 UTC
schedule,2013,5809,2026-08-12 07:10:06 UTC
schedule,2014,5946,2026-08-12 06:52:40 UTC
schedule,2015,5927,2026-08-12 06:36:44 UTC
schedule,2016,5948,2026-08-12 05:58:28 UTC
schedule,2017,5970,2026-08-12 05:40:05 UTC
schedule,2018,5999,2026-08-12 05:22:07 UTC
schedule,2019,6040,2026-08-12 05:05:07 UTC
schedule,2020,5782,2026-08-12 04:47:50 UTC
schedule,2021,4269,2026-08-12 04:34:40 UTC
schedule,2022,5970,2026-08-12 04:16:09 UTC
schedule,2023,6221,2026-08-12 03:57:43 UTC
schedule,2024,6243,2026-08-12 03:37:28 UTC
schedule,2025,6293,2026-08-12 03:16:20 UTC
schedule,2026,6297,2026-08-12 02:55:30 UTC
