dataset,season,row_count,generated_at_utc
lineups,2010,210273,2026-08-20 02:16:13 UTC
lineups,2011,246111,2026-08-20 02:11:35 UTC
lineups,2012,244395,2026-08-20 02:06:15 UTC
lineups,2013,250054,2026-08-20 02:01:01 UTC
lineups,2014,255853,2026-08-20 01:55:26 UTC
lineups,2015,250712,2026-08-20 01:50:07 UTC
lineups,2016,252271,2026-08-20 01:44:35 UTC
lineups,2017,250239,2026-08-20 01:37:47 UTC
lineups,2018,244741,2026-08-20 01:30:09 UTC
lineups,2019,254261,2026-08-20 01:22:25 UTC
lineups,2020,253044,2026-08-20 01:13:53 UTC
lineups,2021,187934,2026-08-20 01:07:23 UTC
lineups,2022,259513,2026-08-20 00:59:18 UTC
lineups,2023,272021,2026-08-20 00:50:41 UTC
lineups,2024,276701,2026-08-20 00:43:10 UTC
lineups,2025,282737,2026-08-20 00:35:03 UTC
lineups,2026,288918,2026-08-20 00:24:30 UTC
