dataset,season,row_count,generated_at_utc
team_ids,2010,345,2026-08-12 07:59:11 UTC
team_ids,2011,344,2026-08-12 07:43:07 UTC
team_ids,2012,345,2026-08-12 07:26:07 UTC
team_ids,2013,347,2026-08-12 07:09:02 UTC
team_ids,2014,351,2026-08-12 06:51:40 UTC
team_ids,2015,351,2026-08-12 06:35:48 UTC
team_ids,2016,351,2026-08-12 05:57:28 UTC
team_ids,2017,351,2026-08-12 05:38:55 UTC
team_ids,2018,351,2026-08-12 05:21:06 UTC
team_ids,2019,351,2026-08-12 05:03:59 UTC
team_ids,2020,350,2026-08-12 04:46:49 UTC
team_ids,2021,357,2026-08-12 04:33:52 UTC
team_ids,2022,358,2026-08-12 04:15:04 UTC
team_ids,2023,363,2026-08-12 03:56:30 UTC
team_ids,2024,362,2026-08-12 03:36:16 UTC
team_ids,2025,364,2026-08-12 03:14:55 UTC
team_ids,2026,365,2026-08-12 02:54:22 UTC
