dataset,season,row_count,generated_at_utc
team_box,2010,11418,2026-08-12 08:04:54 UTC
team_box,2011,11470,2026-08-12 07:52:22 UTC
team_box,2012,11526,2026-08-12 07:35:59 UTC
team_box,2013,11618,2026-08-12 07:18:39 UTC
team_box,2014,11892,2026-08-12 07:01:16 UTC
team_box,2015,11854,2026-08-12 06:44:23 UTC
team_box,2016,11896,2026-08-12 06:05:46 UTC
team_box,2017,11940,2026-08-12 05:50:01 UTC
team_box,2018,11998,2026-08-12 05:30:32 UTC
team_box,2019,12080,2026-08-12 05:13:21 UTC
team_box,2020,11564,2026-08-12 04:55:46 UTC
team_box,2021,8538,2026-08-12 04:41:10 UTC
team_box,2022,11940,2026-08-12 04:25:28 UTC
team_box,2023,12442,2026-08-12 04:07:07 UTC
team_box,2024,12486,2026-08-12 03:47:06 UTC
team_box,2025,12586,2026-08-12 03:27:14 UTC
team_box,2026,12594,2026-08-12 03:05:20 UTC
